id,occ_date,occ_year,premises_type,bike_cost,cost_group
14099,2017-12-19,2017,Apartment,1650,1500<2000
14101,2017-12-19,2017,Apartment,500,500<1000
14102,2017-11-09,2017,House,1500,1500<2000
14103,2017-12-19,2017,Outside,800,500<1000
14104,2017-10-19,2017,Educational,672,500<1000
14105,2017-12-19,2017,Commercial,700,500<1000
14106,2017-12-11,2017,House,600,500<1000
14107,2017-12-20,2017,Outside,1400,1000<1500
14108,2017-12-15,2017,Other,800,500<1000
14109,2017-12-20,2017,Apartment,900,500<1000
14110,2017-12-22,2017,Commercial,10307.3,2000<
14111,2017-12-21,2017,Apartment,1000,1000<1500
14112,2017-12-22,2017,Outside,500,500<1000
14113,2017-12-20,2017,Commercial,3500,2000<
14114,2017-12-22,2017,Apartment,600,500<1000
14115,2017-12-24,2017,Outside,2000,2000<
14117,2017-12-24,2017,Outside,2500,2000<
14118,2017-12-16,2017,Apartment,300,<500
14120,2017-12-13,2017,Apartment,4500,2000<
14121,2017-11-11,2017,House,400,<500
14123,2017-12-30,2017,Apartment,1000,1000<1500
14124,2017-12-30,2017,Apartment,700,500<1000
14125,2017-11-03,2017,House,4394.57,2000<
14126,2017-10-22,2017,Educational,800,500<1000
14127,2018-01-04,2018,House,800,500<1000
14130,2018-01-04,2018,House,900,500<1000
14132,2017-12-23,2017,Outside,1000,1000<1500
14134,2018-01-04,2018,Apartment,650,500<1000
14135,2017-12-17,2017,Other,339,<500
14136,2018-01-04,2018,Apartment,800,500<1000
14137,2018-01-05,2018,Apartment,750,500<1000
14138,2018-01-05,2018,Apartment,725,500<1000
14139,2017-12-01,2017,Apartment,800,500<1000
14140,2017-12-12,2017,Apartment,800,500<1000
14141,2018-01-08,2018,Other,5000,2000<
14142,2017-10-01,2017,Apartment,2300,2000<
14143,2017-11-15,2017,Other,1000,1000<1500
14144,2018-01-09,2018,Apartment,988.75,500<1000
14145,2018-01-09,2018,House,500,500<1000
14146,2017-11-15,2017,Other,1800,1500<2000
14147,2017-04-16,2017,Outside,2500,2000<
14149,2018-01-10,2018,Transit,450,<500
14150,2018-01-09,2018,House,4500,2000<
14151,2018-01-03,2018,Apartment,300,<500
14152,2017-12-24,2017,Other,500,500<1000
14153,2017-12-24,2017,Other,1000,1000<1500
14155,2018-01-12,2018,Outside,1000,1000<1500
14156,2017-12-16,2017,House,575,500<1000
14157,2018-01-12,2018,Apartment,1100,1000<1500
14158,2018-01-13,2018,Other,10,<500
14159,2017-08-19,2017,Commercial,1199,1000<1500
14160,2018-01-13,2018,Other,1755,1500<2000
14161,2018-01-13,2018,Commercial,600,500<1000
14162,2018-01-11,2018,Outside,1479,1000<1500
14163,2018-01-13,2018,Other,400,<500
14164,2018-01-14,2018,Outside,600,500<1000
14165,2018-01-11,2018,Apartment,1180.83,1000<1500
14166,2017-12-17,2017,Commercial,2000,2000<
14167,2018-01-13,2018,House,900,500<1000
14168,2017-12-17,2017,Commercial,2000,2000<
14169,2018-01-06,2018,Commercial,150,<500
14170,2018-01-11,2018,Apartment,120,<500
14171,2018-01-14,2018,House,3500,2000<
14173,2017-10-27,2017,Educational,500,500<1000
14174,2017-10-25,2017,Educational,463,<500
14175,2018-01-09,2018,Apartment,400,<500
14176,2018-01-09,2018,Apartment,400,<500
